Record;[0];[0]\[3];[1]\[3];FULL;QNAM;[2]\[2]\[0]\[0];RNAM
155491;MS07JareeRaOfferTopic "Okay, so what's your offer?" [DIAL:00061E61];;[INFO:00025F63] ('With the war, many more ships come through these docks. Loaded with weapons and pay, but few people. And they pass through dangerous waters.' in GRUP Topic Children of MS07JareeRaOfferTopic "Okay, so what's your offer?" [DIAL:00061E61]);;;TIF__00025F63;
400993;;MS07JareeRaOfferTopic "Okay, so what's your offer?" [DIAL:00061E61];;Okay, so what's your offer?;MS07 "Lights Out!" [QUST:00023A64];;
400782;;MS07JareeRaOfferTopic2 "I get it. So I have to put out the Lighthouse fire." [DIAL:00061D8E];;I get it. So I have to put out the Lighthouse fire.;MS07 "Lights Out!" [QUST:00023A64];;
33556532;MS07DeejaIcerunnerBranchTopic "So we're splitting the loot, then?" [DIAL:00061D84];;[INFO:11000834] ([G] in GRUP Topic Children of MS07DeejaIcerunnerBranchTopic "So we're splitting the loot, then?" [DIAL:00061D84]);;;STI_TIF__DeejaSplitLoot;
518876;MS07DeejaIcerunnerBranchTopic "So we're splitting the loot, then?" [DIAL:00061D84];;[INFO:0007EADC] ('Ha! I'm afraid the loot's already been moved. You've been useful to the Blackbloods, though. You've earned a quick death.' in GRUP Topic Children of MS07DeejaIcerunnerBranchTopic "So we're splitting the loot, then?" [DIAL:00061D84]);;;TIF__0007EADC;
400772;;MS07DeejaIcerunnerBranchTopic "So we're splitting the loot, then?" [DIAL:00061D84];;So we're splitting the loot, then?;MS07 "Lights Out!" [QUST:00023A64];;
194529;[DIAL:0002E13B];;[INFO:0002F7E1] ('You want knives? You want them in your belly? No? Then you stop talking to Deeja.' in GRUP Topic Children of [DIAL:0002E13B]);;;;
194528;[DIAL:0002E13B];;[INFO:0002F7E0] ('You have no knowledge of who you speak to. Go away.' in GRUP Topic Children of [DIAL:0002E13B]);;;;
188825;[DIAL:0002E13B];;[INFO:0002E199] ('You, talk to egg-brothers. Deeja has no words for you.' in GRUP Topic Children of [DIAL:0002E13B]);;;;
188731;;[DIAL:0002E13B];;;DialogueSolitude "Solitude Dialogue" [QUST:0002E1AD];;
698900;MS07JRGreet0 "What did you have in mind?" [DIAL:00025F57];;[INFO:000AAA14] ('As I said, it's easy to find things nobody will miss. My sister Deeja and I are treasure hunters. You could be too.' in GRUP Topic Children of MS07JRGreet0 "What did you have in mind?" [DIAL:00025F57]);;;TIF__000AAA14;So what was your suggestion again?
682985;MS07JRGreet0 "What did you have in mind?" [DIAL:00025F57];;[INFO:000A6BE9] ([SO]'It's easy to find things to sell. Things nobody will miss. Things from underground, or just left lying around in someone's house.' in GRUP Topic Children of MS07JRGreet0 "What did you have in mind?" [DIAL:00025F57]);;;TIF__000A6BE9;
155479;;MS07JRGreet0 "What did you have in mind?" [DIAL:00025F57];;What did you have in mind?;MS07 "Lights Out!" [QUST:00023A64];;
33556482;[DIAL:00025F56];;[INFO:11000802] ('Ah, you're back.' in GRUP Topic Children of [DIAL:00025F56]);;;;
157656;[DIAL:00025F56];;[INFO:000267D8] ('Get moving. I'll see if I can't delay any patrols out there.' in GRUP Topic Children of [DIAL:00025F56]);;;;
879703;[DIAL:00025F56];;[INFO:000D6C57] ('Looks like you had no trouble.' in GRUP Topic Children of [DIAL:00025F56]);;;;
947853;[DIAL:00025F56];;[INFO:000E768D] ('I believe you know what needs to be done. Something about putting out a fire?' in GRUP Topic Children of [DIAL:00025F56]);;;;
879702;[DIAL:00025F56];;[INFO:000D6C56] ('Everyone needs work, right? I have good work for you.' in GRUP Topic Children of [DIAL:00025F56]);;;;
879701;[DIAL:00025F56];;[INFO:000D6C55] ('If you're looking for opportunities to make some coin, well... I'm your man.' in GRUP Topic Children of [DIAL:00025F56]);;;;
155504;[DIAL:00025F56];;[INFO:00025F70] ([SO]'You look new. I'm new, too. I think we could be friends.' in GRUP Topic Children of [DIAL:00025F56]);;;;
155478;;[DIAL:00025F56];;;MS07 "Lights Out!" [QUST:00023A64];;
155485;MS07JRGreet1A "I'm no thief." [DIAL:00025F55];;[INFO:00025F5D] ('Of course not! Thieves take what is precious. Thieves steal.' in GRUP Topic Children of MS07JRGreet1A "I'm no thief." [DIAL:00025F55]);;;;
155477;;MS07JRGreet1A "I'm no thief." [DIAL:00025F55];;I'm no thief.;MS07 "Lights Out!" [QUST:00023A64];;
155483;MS07JRGreet1B "I'm listening..." [DIAL:00025F54];;[INFO:00025F5B] ('I knew you looked like a clever one...' in GRUP Topic Children of MS07JRGreet1B "I'm listening..." [DIAL:00025F54]);;;TIF__00025F5B;
155476;;MS07JRGreet1B "I'm listening..." [DIAL:00025F54];;I'm listening...;MS07 "Lights Out!" [QUST:00023A64];;
155488;MS07JRWhatIf0 "Setting up a wreck? I should turn you in to the guards." [DIAL:00025F53];;[INFO:00025F60] ([G]'Turn me in? For what? What crime's been committed? I'm just making idle talk about what would most undoubtedly be a tragic event...' in GRUP Topic Children of MS07JRWhatIf0 "Setting up a wreck? I should turn you in to the guards." [DIAL:00025F53]);;;;
155475;;MS07JRWhatIf0 "Setting up a wreck? I should turn you in to the guards." [DIAL:00025F53];;Setting up a wreck? I should turn you in to the guards.;MS07 "Lights Out!" [QUST:00023A64];;
33556481;Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50];;[INFO:11000801] ([G]'Yeah... that's not gonna happen.' in GRUP Topic Children of Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50]);;;STI_TIF__JRDeejaDied;I put out the Lighthouse fire. Let's go over there and collect the loot.
33556480;Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50];;[INFO:11000800] ([G]'Yeah... that's not gonna happen.' in GRUP Topic Children of Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50]);;;STI_TIF__JRKilledDeeja;I put out the Lighthouse fire. Let's go over there and collect the loot.
155499;Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50];;[INFO:00025F6B] ('The effects have already been felt. The Icerunner has failed to dock on time.' in GRUP Topic Children of Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50]);;;TIF__00025F6B;
155472;;Ms07AfterLamp0 "I put out the Lighthouse fire." [DIAL:00025F50];;I put out the Lighthouse fire.;MS07 "Lights Out!" [QUST:00023A64];;
155486;MS07Victims0 "What would happen to sailors on the boat?" [DIAL:00025F46];;[INFO:00025F5E] ('Don't worry about them. We'll make sure they wash up safe. Maybe they'll even pay us for the heroic rescue from their sad crash.' in GRUP Topic Children of MS07Victims0 "What would happen to sailors on the boat?" [DIAL:00025F46]);;;;
155462;;MS07Victims0 "What would happen to sailors on the boat?" [DIAL:00025F46];;What would happen to sailors on the boat?;MS07 "Lights Out!" [QUST:00023A64];;
